id,car_price_min,car_price_max,car_price_fee,fee_type_id
1,0,49.99,1,3
2,50,99.99,1,3
3,100,199.99,25,3
4,200,299.99,60,3
5,300,349.99,85,3
6,350,399.99,100,3
7,400,449.99,125,3
8,450,499.99,135,3
9,500,549.99,145,3
10,550,599.99,155,3
11,600,699.99,170,3
12,700,799.99,195,3
13,800,899.99,215,3
14,900,999.99,230,3
15,1000,1199.99,250,3
16,1200,1299.99,270,3
17,1300,1399.99,285,3
18,1400,1499.99,300,3
19,1500,1599.99,315,3
20,1600,1699.99,330,3
21,1700,1799.99,350,3
22,1800,1999.99,370,3
23,2000,2399.99,390,3
24,2400,2499.99,425,3
25,2500,2999.99,460,3
26,3000,3499.99,505,3
27,3500,3999.99,555,3
28,4000,4499.99,600,3
29,4500,4999.99,625,3
30,5000,5499.99,650,3
31,5500,5999.99,675,3
32,6000,6499.99,700,3
33,6500,6999.99,720,3
34,7000,7499.99,755,3
35,7500,7999.99,775,3
36,8000,8499.99,800,3
37,8500,8999.99,820,3
38,9000,9999.99,820,3
39,10000,10499.99,850,3
40,10500,10999.99,850,3
41,11000,11499.99,850,3
42,11500,11999.99,860,3
43,12000,12499.99,875,3
44,12500,14999.99,890,3
45,15000,100000000,0.06,3
46,0,99.99,1,2
47,100,199.99,25,2
48,200,299.99,60,2
49,300,349.99,85,2
50,350,399.99,100,2
51,400,449.99,125,2
52,450,499.99,135,2
53,500,549.99,145,2
54,550,599.99,155,2
55,600,699.99,170,2
56,700,799.99,195,2
57,800,899.99,215,2
58,900,999.99,230,2
59,1000,1199.99,250,2
60,1200,1299.99,270,2
61,1300,1399.99,285,2
62,1400,1499.99,300,2
63,1500,1599.99,315,2
64,1600,1699.99,330,2
65,1700,1799.99,350,2
66,1800,1999.99,370,2
67,2000,2399.99,390,2
68,2400,2499.99,425,2
69,2500,2999.99,460,2
70,3000,3499.99,505,2
71,3500,3999.99,555,2
72,4000,4499.99,600,2
73,4500,4999.99,625,2
74,5000,5499.99,650,2
75,5500,5999.99,675,2
76,6000,6499.99,700,2
77,6500,6999.99,720,2
78,7000,7499.99,755,2
79,7500,7999.99,775,2
80,8000,8499.99,800,2
81,8500,9999.99,820,2
82,10000,11499.99,850,2
83,11500,11999.99,860,2
84,12000,12499.99,875,2
85,12500,14999.99,890,2
86,15000,1000000000,0.06,2
