id,name,city,state,postal_code,email
1,TX - Abilene,Abilene,TX,,
2,CA - Adelanto,Adelanto,CA,,
3,OH - Akron,Akron,OH,,
4,NY - Albany,Albany,NY,,
5,NM - Albuquerque,Albuquerque,NM,,
6,PA - Altoona,Altoona,PA,,
7,TX - Amarillo,Amarillo,TX,,
8,CA - Antelope,Antelope,CA,,
9,WI - Appleton,Appleton,WI,,
10,GA - Atlanta East,Atlanta East,GA,,
11,GA - Atlanta North,Atlanta North,GA,,
12,GA - Atlanta South,Atlanta South,GA,,
13,GA - Atlanta West,Atlanta West,GA,,
14,GA - Augusta,Augusta,GA,,
15,TX - Austin,Austin,TX,,
16,CA - Bakersfield,Bakersfield,CA,,
17,MD - Baltimore,Baltimore,MD,,
18,MD - Baltimore East,Baltimore East,MD,,
19,LA - Baton Rouge,Baton Rouge,LA,,
20,AL - Birmingham,Birmingham,AL,,
21,ND - Bismarck,Bismarck,ND,,
22,NY - Buffalo,Buffalo,NY,,
23,NH - Candia,Candia,NH,,
24,GA - Cartersville,Cartersville,GA,,
25,PA - Chambersburg,Chambersburg,PA,,
26,SC - Charleston,Charleston,SC,,
27,WV - Charleston,Charleston,WV,,
28,IL - Chicago North,Chicago North,IL,,
29,IL - Chicago South,Chicago South,IL,,
30,NC - China Grove,China Grove,NC,,
31,OH - Cleveland East,Cleveland East,OH,,
32,OH - Cleveland West,Cleveland West,OH,,
33,FL - Clewiston,Clewiston,FL,,
34,CO - Colorado Springs,Colorado Springs,CO,,
35,MO - Columbia,Columbia,MO,,
36,SC - Columbia,Columbia,SC,,
37,OH - Columbus,Columbus,OH,,
38,NC - Concord,Concord,NC,,
39,TX - Corpus Christi,Corpus Christi,TX,,
40,MN - CrashedToys East Bethel,CrashedToys East Bethel,MN,,
41,IA - CrashedToys Eldridge,CrashedToys Eldridge,IA,,
42,CA - CrashedToys Sacramento,CrashedToys Sacramento,CA,,
43,VA - Culpeper,Culpeper,VA,,
44,TX - Dallas,Dallas,TX,,
45,TX - Dallas South,Dallas South,TX,,
46,VA - Danville,Danville,VA,,
47,IA - Davenport,Davenport,IA,,
48,OH - Dayton,Dayton,OH,,
49,CO - Denver,Denver,CO,,
50,CO - Denver Central,Denver Central,CO,,
51,CO - Denver South,Denver South,CO,,
52,IA - Des Moines,Des Moines,IA,,
53,MI - Detroit,Detroit,MI,,
54,AL - Dothan,Dothan,AL,,
55,IN - Dyer,Dyer,IN,,
56,TX - El Paso,El Paso,TX,,
57,RI - Exeter,Exeter,RI,,
58,GA - Fairburn,Fairburn,GA,,
59,AR - Fayetteville,Fayetteville,AR,,
60,MI - Flint,Flint,MI,,
61,IN - Fort Wayne,Fort Wayne,IN,,
62,VA - Fredericksburg,Fredericksburg,VA,,
63,CA - Fremont,Fremont,CA,,
64,CA - Fresno,Fresno,CA,,
65,MA - Freetown,Freetown,MA,,
66,FL - Pierce,Pierce,FL,,
67,TX - Worth,Worth,TX,,
68,NC - Gastonia,Gastonia,NC,,
69,NJ - Glassboro East,Glassboro East,NJ,,
70,SC - Greer,Greer,SC,,
71,MS - Grenada,Grenada,MS,,
72,IN - Hammond,Hammond,IN,,
73,VA - Hampton,Hampton,VA,,
74,PA - Harrisburg,Harrisburg,PA,,
75,CT - Hartford,Hartford,CT,,
76,CA - Hayward,Hayward,CA,,
77,TX - Houston,Houston,TX,,
78,IN - Indianapolis,Indianapolis,IN,,
79,MI - Ionia,Ionia,MI,,
80,MS - Jackson,Jackson,MS,,
81,FL - Jacksonville East,Jacksonville East,FL,,
82,FL - Jacksonville West,Jacksonville West,FL,,
83,KS - Kansas City,Kansas City,KS,,
84,MI - Kincheloe,Kincheloe,MI,,
85,TN - Knoxville,Knoxville,TN,,
86,MI - Lansing,Lansing,MI,,
87,NV - Las Vegas,Las Vegas,NV,,
88,NV - Las Vegas West,Las Vegas West,NV,,
89,KY - Lexington East,Lexington East,KY,,
90,KY - Lexington West,Lexington West,KY,,
91,NE - Lincoln,Lincoln,NE,,
92,AR - Little Rock,Little Rock,AR,,
93,CA - Long Beach,Long Beach,CA,,
94,NY - Long Island,Long Island,NY,,
95,TX - Longview,Longview,TX,,
96,CA - Los Angeles,Los Angeles,CA,,
97,KY - Louisville,Louisville,KY,,
98,TX - Lufkin,Lufkin,TX,,
99,NC - Lumberton,Lumberton,NC,,
100,ME - Lyman,Lyman,ME,,
101,GA - Macon,Macon,GA,,
102,WI - Madison,Madison,WI,,
103,WI - Madison South,Madison South,WI,,
104,CA - Martinez,Martinez,CA,,
105,TX - Mcallen,Mcallen,TX,,
106,NC - Mebane,Mebane,NC,,
107,TN - Memphis,Memphis,TN,,
108,CA - Mentone,Mentone,CA,,
109,FL - Miami Central,Miami Central,FL,,
110,FL - Miami North,Miami North,FL,,
111,FL - Miami South,Miami South,FL,,
112,WI - Milwaukee,Milwaukee,WI,,
113,WI - Milwaukee South,Milwaukee South,WI,,
114,MN - Minneapolis,Minneapolis,MN,,
115,MN - Minneapolis North,Minneapolis North,MN,,
116,AL - Mobile,Mobile,AL,,
117,AL - Mobile South,Mobile South,AL,,
118,NC - Mocksville,Mocksville,NC,,
119,AL - Montgomery,Montgomery,AL,,
120,FL - Mulberry,Mulberry,FL,,
121,CA - Napa,Napa,CA,,
122,TN - Nashville,Nashville,TN,,
123,LA - New Orleans,New Orleans,LA,,
124,NY - Newburgh,Newburgh,NY,,
125,MA - North Boston,North Boston,MA,,
126,WA - North Seattle,North Seattle,WA,,
127,FL - Ocala,Ocala,FL,,
128,OK - Oklahoma City,Oklahoma City,OK,,
129,FL - Orlando,Orlando,FL,,
130,FL - Orlando North,Orlando North,FL,,
131,FL - Orlando South,Orlando South,FL,,
132,IL - Peoria,Peoria,IL,,
133,PA - Philadelphia,Philadelphia,PA,,
134,PA - Philadelphia East,Philadelphia East,PA,,
135,AZ - Phoenix,Phoenix,AZ,,
136,AZ - Phoenix North,Phoenix North,AZ,,
137,PA - Pittsburgh South,Pittsburgh South,PA,,
138,PA - Pittsburgh East,Pittsburgh East,PA,,
139,PA - Pittsburgh North,Pittsburgh North,PA,,
140,PA - Pittsburgh West,Pittsburgh West,PA,,
141,OR - Portland South,Portland South,OR,,
142,FL - Punta Gorda,Punta Gorda,FL,,
143,FL - Punta Gorda South,Punta Gorda South,FL,,
144,NC - Raleigh,Raleigh,NC,,
145,NC - Raleigh North,Raleigh North,NC,,
146,CA - Rancho Cucamonga,Rancho Cucamonga,CA,,
147,CA - Redding,Redding,CA,,
148,NV - Reno,Reno,NV,,
149,VA - Richmond,Richmond,VA,,
150,NY - Rochester,Rochester,NY,,
151,VT - Rutland,Rutland,VT,,
152,CA - Sacramento,Sacramento,CA,,
153,UT - Salt Lake City,Salt Lake City,UT,,
